account,total_sent,avg_sent,max_sent,std_sent,n_sent,total_recv,avg_recv,max_recv,std_recv,n_recv,unique_dest,unique_source,drain_rate,tx_count,passthrough_ratio,fanout_ratio,degree_ratio,round_tx_count,small_round_tx_rate,cashout_rate,out_degree,in_degree,pagerank,betweenness,clustering,component_size,degree_ratio_graph,active_days,max_gap_days,burst_ratio,weekly_cv,max_weekly_txns,mean_weekly_txns,tx_velocity_1d,tx_velocity_7d,tx_velocity_30d,sudden_wakeup,small_round_txns,is_fraud
ACC000000,26354.1,2635.41,12208.3,3776.7539911557797,10.0,21744.45,2174.445,10603.88,3342.1001384832857,10.0,10.0,10.0,0.0,20.0,1.2119920254956094,0.99999990000001,1.0,0.0,0.0,0.0,10,10,0.00027854259241103126,0.00032575844408115005,4.9961622350939275e-06,5000,1.0,171,27.597997685185184,1.4,0.3594868137091668,2,1.4285714285714286,1,1,1,0,0,0
ACC000001,61127.270000000004,6791.918888888889,50000.0,16210.16018394208,9.0,13038.4,4346.133333333333,12850.01,7364.83991184013,3.0,9.0,3.0,0.0,12.0,4.688249324710989,0.9999998888889013,2.5,1.0,0.11111109876543349,0.0,9,3,4.765288341993673e-05,0.0,0.0,5000,2.5,123,21.365833333333335,1.6666666666666667,0.3513641844631533,2,1.2,1,1,2,0,0,0
ACC000002,52528.72,8754.786666666667,50000.0,20218.640443334134,6.0,14388.779999999999,2398.1299999999997,7433.87,2597.5846584394512,6.0,6.0,6.0,0.0,12.0,3.650672259659911,0.9999998333333611,1.0,1.0,0.16666663888889352,0.0,6,6,0.00010357065649673746,0.0008433373349339737,0.0,5000,1.0,137,36.47011574074074,1.6666666666666667,0.3513641844631533,2,1.2,1,1,1,0,0,0
ACC000003,74393.03,14878.606,40695.66,20442.8196106452,5.0,22482.68,2498.0755555555556,14391.95,4621.546733043254,9.0,5.0,9.0,0.0,14.0,3.3089040095171525,0.99999980000004,0.6,0.0,0.0,0.0,5,9,0.00017180955772972333,0.009321728691476591,0.0,5000,0.6,125,37.16130787037037,1.7142857142857142,0.33364240464065276,2,1.1666666666666667,1,1,2,0,0,0
ACC000004,515827.6,10114.266666666666,19897.98,6316.047912171556,51.0,1548162.17,26240.036779661015,49834.28,14469.365422909455,59.0,16.0,7.0,0.0,110.0,0.3331870588206317,0.3137254840445984,0.8666666666666667,0.0,0.0,0.0,16,7,0.00021968595081815423,5.302120848339336e-05,0.0,5000,2.125,161,57.0808912037037,8.50909090909091,2.4299409607802276,78,9.166666666666666,2,3,5,1,0,1
ACC000005,7327.02,666.0927272727273,2792.23,817.5481297158098,11.0,13598.94,2266.4900000000002,5789.18,2634.2937486696505,6.0,11.0,6.0,0.0,17.0,0.538793464745135,0.9999999090909174,1.7142857142857142,0.0,0.0,0.0,11,6,0.0002080475957288815,0.0025590236094437777,0.0,5000,1.7142857142857142,154,42.12600694444444,2.3529411764705883,0.5580489988532434,4,1.7,1,2,2,0,0,0
ACC000006,5137.72,513.772,2100.83,614.363620682229,10.0,46251.649999999994,5781.456249999999,30173.19,10708.67647214556,8.0,10.0,8.0,0.0,18.0,0.11108187491449319,0.99999990000001,1.2222222222222223,0.0,0.0,0.0,10,8,9.908439208650442e-05,0.0012034813925570229,2.2577357031715505e-06,5000,1.2222222222222223,162,32.32070601851852,1.4444444444444444,0.3657114381135463,2,1.3846153846153846,1,1,2,0,0,0
ACC000007,2969.6000000000004,989.8666666666668,1665.23,768.2222527584927,3.0,20901.86,2985.98,10632.4,4679.133122114252,7.0,3.0,7.0,0.0,10.0,0.14207348053512592,0.9999996666667778,0.5,0.0,0.0,0.0,3,7,8.915602985320587e-05,0.0017807122849139657,0.0,5000,0.5,145,43.9200462962963,1.6,0.3703280399090206,2,1.25,1,1,1,0,0,0
ACC000008,4087.16,1021.79,1856.27,573.5056893062758,4.0,16330.55,2041.31875,4427.95,1493.0637735249288,8.0,4.0,8.0,0.0,12.0,0.250276934931752,0.9999997500000625,0.5555555555555556,0.0,0.0,0.0,4,8,0.00011453213968055711,5.202080832332933e-05,0.0,5000,0.5555555555555556,158,43.165856481481484,1.6666666666666667,0.3513641844631533,2,1.2,1,1,2,0,0,0
ACC000009,26206.699999999997,4367.783333333333,23732.0,9496.804786187124,6.0,46368.78,4215.3436363636365,15404.92,5158.36279957948,11.0,6.0,11.0,0.0,17.0,0.5651798472902418,0.9999998333333611,0.5833333333333334,0.0,0.0,0.0,6,11,0.0004102424762405269,0.00011204481792717087,0.0,5000,0.5833333333333334,154,26.756377314814817,1.647058823529412,0.3506714347510871,2,1.2142857142857142,1,1,1,0,0,0
