account,lifecycle_stage,rule_stage,risk_level,early_flag,is_fraud
ACC000000,Recruitment,Recruitment,2,1,0
ACC000001,Recruitment,Recruitment,2,1,0
ACC000002,Recruitment,Recruitment,2,1,0
ACC000003,Recruitment,Recruitment,2,1,0
ACC000004,Laundering,Laundering,5,0,1
ACC000005,Recruitment,Normal,2,1,0
ACC000006,Recruitment,Recruitment,2,1,0
ACC000007,Recruitment,Recruitment,2,1,0
ACC000008,Recruitment,Recruitment,2,1,0
ACC000009,Recruitment,Recruitment,2,1,0
ACC000010,Recruitment,Recruitment,2,1,0
ACC000011,Recruitment,Recruitment,2,1,0
ACC000012,Recruitment,Recruitment,2,1,0
ACC000013,Recruitment,Normal,2,1,0
ACC000014,Recruitment,Normal,2,1,0
ACC000015,Recruitment,Recruitment,2,1,0
ACC000016,Recruitment,Recruitment,2,1,0
ACC000017,Recruitment,Recruitment,2,1,0
ACC000018,Recruitment,Recruitment,2,1,0
ACC000019,Recruitment,Recruitment,2,1,0
ACC000020,Recruitment,Recruitment,2,1,0
ACC000021,Recruitment,Recruitment,2,1,0
ACC000022,Recruitment,Recruitment,2,1,0
ACC000023,Recruitment,Recruitment,2,1,0
ACC000024,Recruitment,Recruitment,2,1,0
ACC000025,Recruitment,Recruitment,2,1,0
ACC000026,Laundering,Laundering,5,0,1
ACC000027,Recruitment,Normal,2,1,0
ACC000028,Recruitment,Recruitment,2,1,0
ACC000029,Recruitment,Recruitment,2,1,0
ACC000030,Recruitment,Recruitment,2,1,0
ACC000031,Recruitment,Recruitment,2,1,0
ACC000032,Recruitment,Recruitment,2,1,0
ACC000033,Recruitment,Recruitment,2,1,0
ACC000034,Recruitment,Recruitment,2,1,0
ACC000035,Recruitment,Recruitment,2,1,0
ACC000036,Recruitment,Recruitment,2,1,0
ACC000037,Recruitment,Normal,2,1,0
ACC000038,Recruitment,Recruitment,2,1,0
ACC000039,Recruitment,Recruitment,2,1,0
ACC000040,Recruitment,Recruitment,2,1,0
ACC000041,Recruitment,Recruitment,2,1,0
ACC000042,Recruitment,Recruitment,2,1,0
ACC000043,Recruitment,Recruitment,2,1,0
ACC000044,Recruitment,Recruitment,2,1,0
ACC000045,Recruitment,Recruitment,2,1,0
ACC000046,Recruitment,Recruitment,2,1,0
ACC000047,Recruitment,Recruitment,2,1,0
ACC000048,Recruitment,Recruitment,2,1,0
ACC000049,Recruitment,Recruitment,2,1,0
ACC000050,Recruitment,Recruitment,2,1,0
ACC000051,Recruitment,Recruitment,2,1,0
ACC000052,Recruitment,Recruitment,2,1,0
ACC000053,Laundering,Laundering,5,0,1
ACC000054,Recruitment,Recruitment,2,1,0
ACC000055,Recruitment,Recruitment,2,1,0
ACC000056,Recruitment,Recruitment,2,1,0
ACC000057,Recruitment,Recruitment,2,1,0
ACC000058,Recruitment,Recruitment,2,1,0
ACC000059,Recruitment,Normal,2,1,0
ACC000060,Recruitment,Recruitment,2,1,0
ACC000061,Laundering,Laundering,5,0,1
ACC000062,Recruitment,Normal,2,1,0
ACC000063,Recruitment,Recruitment,2,1,0
ACC000064,Recruitment,Normal,2,1,0
