account,lifecycle_stage,risk_level
ACC003679,Recruitment,2
ACC004464,Recruitment,2
ACC000000,Recruitment,2
ACC000001,Recruitment,2
ACC000002,Recruitment,2
ACC000003,Recruitment,2
ACC000005,Recruitment,2
ACC000006,Recruitment,2
ACC000007,Recruitment,2
ACC000008,Recruitment,2
ACC000009,Recruitment,2
ACC000010,Recruitment,2
ACC000011,Recruitment,2
ACC000012,Recruitment,2
ACC000013,Recruitment,2
ACC000014,Recruitment,2
ACC000015,Recruitment,2
ACC000016,Recruitment,2
ACC000017,Recruitment,2
ACC000018,Recruitment,2
ACC000019,Recruitment,2
ACC000020,Recruitment,2
ACC000021,Recruitment,2
ACC000022,Recruitment,2
ACC000023,Recruitment,2
ACC000024,Recruitment,2
ACC000025,Recruitment,2
ACC000027,Recruitment,2
ACC000028,Recruitment,2
ACC000029,Recruitment,2
ACC000030,Recruitment,2
ACC000031,Recruitment,2
ACC000032,Recruitment,2
ACC000033,Recruitment,2
ACC000034,Recruitment,2
ACC000035,Recruitment,2
ACC000036,Recruitment,2
ACC000037,Recruitment,2
ACC000038,Recruitment,2
ACC000039,Recruitment,2
ACC000040,Recruitment,2
ACC000041,Recruitment,2
ACC000042,Recruitment,2
ACC000043,Recruitment,2
ACC000044,Recruitment,2
ACC000045,Recruitment,2
ACC000046,Recruitment,2
ACC000047,Recruitment,2
ACC000048,Recruitment,2
ACC000049,Recruitment,2
ACC000050,Recruitment,2
ACC000051,Recruitment,2
ACC000052,Recruitment,2
ACC000054,Recruitment,2
ACC000055,Recruitment,2
ACC000056,Recruitment,2
ACC000057,Recruitment,2
ACC000058,Recruitment,2
ACC000059,Recruitment,2
ACC000060,Recruitment,2
ACC000062,Recruitment,2
ACC000063,Recruitment,2
ACC000064,Recruitment,2
ACC000066,Recruitment,2
ACC000067,Recruitment,2
ACC000068,Recruitment,2
ACC000069,Recruitment,2
ACC000070,Recruitment,2
ACC000071,Recruitment,2
ACC000072,Recruitment,2
ACC000073,Recruitment,2
ACC000074,Recruitment,2
ACC000075,Recruitment,2
ACC000076,Recruitment,2
ACC000077,Recruitment,2
ACC000078,Recruitment,2
ACC000079,Recruitment,2
ACC000080,Recruitment,2
ACC000081,Recruitment,2
ACC000082,Recruitment,2
ACC000083,Recruitment,2
ACC000084,Recruitment,2
ACC000085,Recruitment,2
ACC000086,Recruitment,2
ACC000087,Recruitment,2
ACC000088,Recruitment,2
ACC000090,Recruitment,2
ACC000091,Recruitment,2
ACC000092,Recruitment,2
ACC000093,Recruitment,2
ACC000094,Recruitment,2
ACC000096,Recruitment,2
ACC000097,Recruitment,2
ACC000098,Recruitment,2
ACC000099,Recruitment,2
ACC000100,Recruitment,2
ACC000101,Recruitment,2
ACC000102,Recruitment,2
ACC000103,Recruitment,2
ACC000104,Recruitment,2
ACC000105,Recruitment,2
ACC000106,Recruitment,2
ACC000107,Recruitment,2
ACC000108,Recruitment,2
ACC000109,Recruitment,2
ACC000110,Recruitment,2
ACC000111,Recruitment,2
ACC000112,Recruitment,2
ACC000113,Recruitment,2
ACC000114,Recruitment,2
ACC000115,Recruitment,2
ACC000116,Recruitment,2
ACC000117,Recruitment,2
ACC000118,Recruitment,2
ACC000119,Recruitment,2
ACC000120,Recruitment,2
ACC000121,Recruitment,2
ACC000122,Recruitment,2
ACC000123,Recruitment,2
ACC000124,Recruitment,2
ACC000125,Recruitment,2
ACC000126,Recruitment,2
ACC000127,Recruitment,2
ACC000128,Recruitment,2
ACC000129,Recruitment,2
ACC000130,Recruitment,2
ACC000131,Recruitment,2
ACC000132,Recruitment,2
ACC000133,Recruitment,2
ACC000134,Recruitment,2
ACC000135,Recruitment,2
ACC000136,Recruitment,2
ACC000137,Recruitment,2
ACC000139,Recruitment,2
ACC000140,Recruitment,2
ACC000141,Recruitment,2
ACC000142,Recruitment,2
ACC000143,Recruitment,2
ACC000144,Recruitment,2
ACC000145,Recruitment,2
ACC000146,Recruitment,2
ACC000147,Recruitment,2
ACC000148,Recruitment,2
ACC000149,Recruitment,2
ACC000150,Recruitment,2
ACC000151,Recruitment,2
ACC000152,Recruitment,2
ACC000153,Recruitment,2
ACC000154,Recruitment,2
ACC000155,Recruitment,2
ACC000156,Recruitment,2
ACC000157,Recruitment,2
ACC000158,Recruitment,2
ACC000159,Recruitment,2
ACC000160,Recruitment,2
ACC000161,Recruitment,2
ACC000163,Recruitment,2
ACC000164,Recruitment,2
ACC000165,Recruitment,2
ACC000166,Recruitment,2
ACC000167,Recruitment,2
ACC000168,Recruitment,2
ACC000169,Recruitment,2
ACC000170,Recruitment,2
ACC000171,Recruitment,2
ACC000172,Recruitment,2
ACC000173,Recruitment,2
ACC000174,Recruitment,2
ACC000175,Recruitment,2
ACC000176,Recruitment,2
ACC000178,Recruitment,2
ACC000179,Recruitment,2
ACC000180,Recruitment,2
ACC000181,Recruitment,2
ACC000182,Recruitment,2
ACC000183,Recruitment,2
ACC000184,Recruitment,2
ACC000185,Recruitment,2
ACC000186,Recruitment,2
ACC000187,Recruitment,2
ACC000188,Recruitment,2
ACC000189,Recruitment,2
ACC000190,Recruitment,2
ACC000191,Recruitment,2
ACC000192,Recruitment,2
ACC000193,Recruitment,2
ACC000194,Recruitment,2
ACC000195,Recruitment,2
ACC000196,Recruitment,2
ACC000197,Recruitment,2
ACC000198,Recruitment,2
ACC000199,Recruitment,2
ACC000200,Recruitment,2
ACC000201,Recruitment,2
ACC000202,Recruitment,2
ACC000203,Recruitment,2
ACC000205,Recruitment,2
ACC000206,Recruitment,2
ACC000207,Recruitment,2
ACC000208,Recruitment,2
ACC000209,Recruitment,2
ACC000210,Recruitment,2
ACC000211,Recruitment,2
ACC000212,Recruitment,2
ACC000213,Recruitment,2
ACC000214,Recruitment,2
ACC000215,Recruitment,2
ACC000216,Recruitment,2
ACC000218,Recruitment,2
ACC000219,Recruitment,2
